Timestamp           ,Task      ,Type   ,Mode           ,Agent ,Round ,Model Name         ,Role Name ,Data Num ,Mean Fluency ,STD Fluency ,Mean Flexibility ,STD Flexibility ,Mean Originality ,STD Originality ,Mean Elaboration ,STD Elaboration ,File Name
2024-03-16 21:31:39 ,Instances ,single ,Default        ,    1 ,    1 ,gpt-3.5            ,          ,      10 ,      15.633 ,      3.542 ,           5.667 ,          3.04  ,           2.706 ,          0.261 ,           1.924 ,          0.384 ,Instances_single_debate_default_1_1_gpt-3.5-turbo-0125_None_final_2024-03-16-21-31-39_10
2024-03-16 22:37:20 ,Instances ,debate ,prompt-4       ,    2 ,    6 ,gpt-3-5-turbo-0125 ,None      ,      10 ,       5.8   ,      3.319 ,           6.317 ,          2.4   ,           3.249 ,          0.541 ,           2.626 ,          0.695 ,Instances_multi_debate_default_2_6_gpt-3-5-turbo-0125_None_final_2024-03-16-22-37-20_10
2024-03-17 00:26:34 ,Instances ,debate ,prompt-1       ,    2 ,    6 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      15.167 ,     11.68  ,           6.5   ,          3.699 ,           3.562 ,          0.44  ,           2.528 ,          0.865 ,Instances_multi_debate_prompt-1_2_6_gpt-3-5-turbo-0125_None_final_2024-03-17-00-26-34_10
2024-03-17 00:27:55 ,Instances ,debate ,prompt-5       ,    2 ,    6 ,gpt-3-5-turbo-0125 ,None      ,      10 ,       9.283 ,      4.47  ,           5.75  ,          1.865 ,           2.9   ,          0.616 ,           2.25  ,          0.576 ,Instances_multi_debate_prompt-5_2_6_gpt-3-5-turbo-0125_None_final_2024-03-17-00-27-55_10
2024-03-17 02:00:21 ,Instances ,debate ,prompt-2       ,    2 ,    6 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      24.6   ,     16.617 ,           5.967 ,          2.646 ,           3.205 ,          0.568 ,           2.825 ,          0.844 ,Instances_multi_debate_prompt-2_2_6_gpt-3-5-turbo-0125_None_final_2024-03-17-02-00-21_10
2024-03-17 02:04:32 ,Instances ,debate ,prompt-3       ,    2 ,    6 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      12.833 ,     12.733 ,           6.717 ,          2.117 ,           3.734 ,          0.447 ,           2.316 ,          0.673 ,Instances_multi_debate_prompt-3_2_6_gpt-3-5-turbo-0125_None_final_2024-03-17-02-04-32_10
2024-03-17 12:24:45 ,Instances ,debate ,prompt-2-final ,    2 ,    2 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      19.633 ,      8.362 ,           8.683 ,          5.09  ,           2.763 ,          0.336 ,           2.291 ,          0.653 ,Instances_multi_debate_prompt-2-final_2_2_gpt-3-5-turbo-0125_None_final_2024-03-17-12-24-45_10
2024-03-17 13:30:33 ,Instances ,debate ,prompt-2-final ,    2 ,    3 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      21.683 ,     12.087 ,           7.45  ,          3.638 ,           2.88  ,          0.364 ,           2.559 ,          0.721 ,Instances_multi_debate_prompt-2-final_2_3_gpt-3-5-turbo-0125_None_final_2024-03-17-13-30-33_10
2024-03-17 15:00:49 ,Instances ,debate ,prompt-2-final ,    2 ,    4 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      27.8   ,     18.415 ,           7.217 ,          2.803 ,           3.212 ,          0.386 ,           2.855 ,          0.777 ,Instances_multi_debate_prompt-2-final_2_4_gpt-3-5-turbo-0125_None_final_2024-03-17-15-00-49_10
2024-03-17 16:28:37 ,Instances ,debate ,prompt-2-final ,    2 ,    5 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      17.5   ,      9.166 ,           7.783 ,          3.22  ,           3.171 ,          0.504 ,           2.772 ,          0.519 ,Instances_multi_debate_prompt-2-final_2_5_gpt-3-5-turbo-0125_None_final_2024-03-17-16-28-37_10
